f.partner,m.partner,f.age,m.age,fam.id,r.length,f.web,m.web,FULL CONSENT,age.diff,couple.id
ks_75b5ad7e,ks_1251d4f3,37,36,2,NA,consent,consent,1,1,1
ks_3454e32c,ks_f0937795,47,46,3,NA,consent,consent,1,1,2
ks_6519c6ee,ks_9f26aa5b,33,32,14,NA,consent,consent,1,1,3
ks_818e5521,ks_145ed7d6,33,33,20,NA,consent,consent,1,0,4
ks_2eb8906e,ks_57d58b62,44,54,21,NA,consent,consent,1,10,5
ks_09103465,ks_a98e08cc,27,28,24,NA,consent,consent,1,1,6
ks_29f9dc6f,ks_2396719e,41,39,26,7,consent,consent,1,2,7
ks_365a8b86,ks_f41847e5,43,47,33,21,no consent,no consent,0,4,8
ks_17253970,ks_20ec1088,45,44,46,21,consent,consent,1,1,9
ks_26ea4597,ks_75e881ad,52,54,49,5,consent,consent,1,2,10
ks_52f664cf,ks_dad8576b,26,27,53,12,consent,consent,1,1,11
ks_e245d435,ks_baa1ef80,47,47,57,10,consent,consent,1,0,12
ks_67394e97,ks_fdec0c5d,34,35,60,13,consent,consent,1,1,13
ks_31be32bb,ks_f13c9a77,35,35,60,18,consent,consent,1,0,14
ks_580a7986,ks_6006d542,61,64,60,38,consent,consent,1,3,15
ks_57d44749,ks_7c79710e,48,44,63,17,no consent,no consent,0,4,16
ks_fe1cb56f,ks_643ed9de,20,32,68,10,consent,consent,1,12,17
ks_e5e8659e,ks_939fe840,37,NA,69,15,consent,consent,1,NA,18
ks_e94c3be9,ks_b98c9c5f,37,40,81,7,consent,consent,1,3,19
ks_b771cf70,ks_d32624bc,32,33,85,13,consent,consent,1,1,20
ks_c7457b1a,ks_d75879c4,70,72,92,30,consent,consent,1,2,21
ks_2e9a9dca,ks_a19d6c49,NA,65,99,46,consent,consent,1,NA,22
ks_bf0bf11f,ks_9a8cc809,54,63,100,30,consent,consent,1,9,23
ks_27a58457,ks_fc70b7eb,37,42,110,19,consent,consent,1,5,24
ks_958f9952,ks_3e941d28,31,38,113,10,consent,consent,1,7,25
ks_68614a17,ks_447240e1,46,44,117,19,consent,consent,1,2,26
ks_0e4e1f7d,ks_59a25df3,34,35,121,1,consent,consent,1,1,27
ks_304e1337,ks_43502817,38,39,127,9,consent,consent,1,1,28
ks_a3527fcf,ks_fc679e6b,42,46,128,7,consent,consent,1,4,29
ks_cb8f3099,ks_c8f20a1f,23,23,143,13,consent,consent,1,0,30
ks_73ad74ea,ks_1f0cacfa,37,43,145,10,consent,consent,1,6,31
ks_e35776f0,ks_00d006af,33,42,163,10,consent,consent,1,9,32
