id,sex
ks_7b0b1070,1
ks_ad169a54,1
ks_1ad7d05f,0
ks_ee0f422a,1
ks_60defa36,0
ks_0269126b,1
ks_56404599,0
ks_c15a740a,1
ks_e2db7fcf,0
ks_438e3927,1
ks_ab9f6b0f,1
ks_07335a49,1
ks_68fb7120,1
ks_01d2f37a,0
ks_099d25e9,1
ks_b685c11f,0
ks_fdf9fc1c,0
ks_87cbb72e,1
ks_17253970,0
ks_7ac7d9e2,0
ks_2e9a9dca,0
ks_35603e8f,0
ks_6662d905,1
ks_c9f6f116,0
ks_4732b266,1
ks_60886abe,1
ks_d32624bc,1
ks_c0242ea2,1
ks_00fc700c,1
ks_141ed706,0
ks_c230fbf2,0
ks_7adae2f6,0
ks_98ac8f41,0
ks_e7066a81,1
ks_427a1d42,0
ks_b98c9c5f,1
ks_29f9dc6f,0
ks_2bb1f45a,1
ks_5d88d776,1
ks_e6a5dc24,0
ks_0faa6709,0
ks_e4c9acd7,1
ks_42b58d6c,0
ks_e53e8f53,1
ks_76abeae2,1
ks_3dd0d70a,0
ks_73aa8809,0
ks_589e92fe,0
ks_62883296,1
ks_3b8f9123,1
ks_64300b4d,1
ks_a19d6c49,1
ks_efdc3bc7,1
ks_580a7986,0
ks_ae4eb8a8,0
ks_18c81467,1
ks_54e365ef,1
ks_a408a85a,0
ks_fc679e6b,1
ks_eda3c06d,1
ks_7c79710e,1
ks_e5e8659e,0
ks_ac78432b,0
ks_f1167769,1
ks_21f024ad,1
ks_476e2498,1
ks_52f664cf,0
ks_2396719e,1
ks_b771cf70,0
ks_73ad74ea,0
ks_9cb6404f,1
ks_304e1337,0
ks_7f542a09,0
ks_a3527fcf,0
ks_c77d4283,0
ks_c9e8d94f,0
ks_1251d4f3,1
ks_e529ee57,0
ks_b625cfa6,1
ks_f13c9a77,1
ks_f278203f,1
ks_fb1ba124,0
ks_67394e97,0
ks_92e9772f,1
ks_dba497a0,1
ks_31be32bb,0
ks_d75879c4,1
ks_4104d5e0,1
ks_f0937795,1
ks_4db13d97,1
ks_1e724ec2,1
ks_f0ca9eba,1
ks_f94b541c,0
ks_09103465,0
ks_69d34709,1
ks_1aba8a53,0
ks_fe90a927,1
ks_d47fd3fc,0
ks_e35776f0,0
ks_08056bdd,0
ks_3559395b,1
ks_5c886b70,0
ks_ecae7a41,0
ks_456f979d,1
ks_78ee8e58,0
ks_a7405f41,0
ks_0b2ebf21,1
ks_939fe840,1
ks_a45acb24,1
ks_0432f8be,0
ks_cb8f3099,0
ks_709c7b55,0
ks_bf0bf11f,0
ks_fe1cb56f,0
ks_365a8b86,0
ks_8b77e2f5,1
ks_bbb712bc,0
ks_320eee20,1
ks_145ed7d6,1
ks_61e3296e,0
ks_cbcbdc9f,1
ks_3885f94d,1
ks_7aae46a7,0
ks_3f046066,0
ks_5366d072,1
ks_fd5d2312,1
ks_34288c06,0
ks_9ea703fe,0
ks_5ff32e76,0
ks_cbb3bba9,1
ks_ce56480a,1
ks_20ec1088,1
ks_71df6c9e,0
ks_d4c8a029,0
ks_bbaf270d,1
ks_0ded503d,0
ks_9fc4b7d3,1
ks_b108a7ae,1
ks_b057d7ea,1
ks_9ba206a0,0
ks_9f4f0af0,1
ks_9b3518f1,0
ks_f8e149ac,1
ks_78848253,1
ks_bd01eb9f,0
ks_905186ce,1
ks_a98e08cc,1
ks_40f66cb1,1
ks_69d3fa09,1
ks_936bc02c,1
ks_75b5ad7e,0
ks_44a55ad2,0
ks_57d44749,0
ks_20b6fddb,0
ks_6ae2ce20,1
ks_d448e030,0
ks_863465dd,1
ks_17f7ee26,0
ks_27a58457,0
ks_93e237b0,0
ks_0e5536ea,0
ks_94d05168,1
ks_43502817,1
ks_def317a8,1
ks_3948b0fb,0
ks_aa2c4b14,1
ks_fb354b80,1
ks_5986b4fb,0
ks_86617566,1
ks_c8525ba6,0
ks_ea948d5b,0
ks_59a25df3,1
ks_73c0cfde,0
ks_818e5521,0
ks_9fe98657,1
ks_2a82b580,1
ks_c7457b1a,0
ks_75e881ad,1
ks_fab0e7d5,0
ks_c56af118,0
ks_87cca9f0,1
ks_ca4fa492,0
ks_3454e32c,0
ks_4c28fdf5,0
ks_0868d3f2,0
ks_dab32d6f,1
ks_9f26aa5b,1
ks_e94c3be9,0
ks_26ea4597,0
ks_0212c7eb,1
ks_b37d6849,0
ks_2bbe6cd2,0
ks_b5191167,0
ks_8a85c129,1
ks_d66fe068,1
ks_ec969a11,1
ks_2463b462,1
ks_341e2010,0
ks_ae195e55,0
ks_f60f98c6,1
ks_007e973e,0
ks_447240e1,1
ks_d9f527a2,1
ks_3835367d,0
ks_6964fcb4,1
ks_b4f53d07,1
ks_ad987496,1
ks_e245d435,0
ks_47422355,1
ks_ea94ee74,0
