WOMEN,MEN,couple_ID
ks_75b5ad7e,ks_1251d4f3,1
ks_3454e32c,ks_f0937795,2
ks_6519c6ee,ks_9f26aa5b,3
ks_818e5521,ks_145ed7d6,4
ks_2eb8906e,ks_57d58b62,5
ks_09103465,ks_a98e08cc,6
ks_29f9dc6f,ks_2396719e,7
ks_365a8b86,ks_f41847e5,8
ks_17253970,ks_20ec1088,9
ks_26ea4597,ks_75e881ad,10
ks_52f664cf,ks_dad8576b,11
ks_e245d435,ks_baa1ef80,12
ks_580a7986,ks_6006d542,13
ks_67394e97,ks_fdec0c5d,14
ks_31be32bb,ks_f13c9a77,15
ks_57d44749,ks_7c79710e,16
ks_fe1cb56f,ks_643ed9de,17
ks_e94c3be9,ks_b98c9c5f,18
ks_b771cf70,ks_d32624bc,19
ks_c7457b1a,ks_d75879c4,20
ks_bf0bf11f,ks_9a8cc809,21
ks_27a58457,ks_fc70b7eb,22
ks_958f9952,ks_3e941d28,23
ks_68614a17,ks_447240e1,24
ks_0e4e1f7d,ks_59a25df3,25
ks_304e1337,ks_43502817,26
ks_a3527fcf,ks_fc679e6b,27
ks_cb8f3099,ks_c8f20a1f,28
ks_73ad74ea,ks_1f0cacfa,29
ks_e35776f0,ks_00d006af,30
ks_341e2010,ks_86617566,31
ks_3268c7ef,ks_24ba696e,32
ks_c9e8d94f,ks_6662d905,33
ks_06ee1236,ks_c0242ea2,34
ks_a02cf7ae,ks_c15a740a,35
ks_ea948d5b,ks_5ed5f4b5,36
ks_7f542a09,ks_efdc3bc7,37
ks_7adae2f6,ks_86f15247,38
ks_92d6ba3b,ks_0b8d746b,39
ks_0e5536ea,ks_69d34709,40
ks_4eccdc10,ks_21f024ad,41
ks_da42c15f,ks_2463b462,42
ks_fc8f3cc0,ks_ce56480a,43
ks_bb6a2df4,ks_48c9c951,44
ks_d47fd3fc,ks_18c81467,45
ks_0432f8be,ks_2a01c8f4,46
ks_73c0cfde,ks_4db13d97,47
ks_2d534744,ks_7eb632b9,48
ks_d7226e8f,ks_f1167769,49
ks_589e92fe,ks_0212c7eb,50
ks_02b6e8f4,ks_789b9eb8,51
ks_a7405f41,ks_73b89b03,52
